feature,importance_mean,importance_std
Name,0.0948076078086749,0.07774577161017596
Sex,0.09175820726884691,0.04175547921376612
Pclass,0.05450630845521311,0.024250491518635203
Age,0.015514405875337391,0.014960858832038298
SibSp,0.01481262946456594,0.00458145780917862
Parch,0.0060649049023915585,0.0027104094023159306
Fare,0.001344548364823317,0.011218242914694488
PassengerId,0.0,0.0
Cabin,0.0,0.0
Ticket,0.0,0.0
Embarked,-0.0011160630217814213,0.008250315195947234
