validation,fold_count,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_min,accuracy_max,fit_seconds_mean
RepeatedStratifiedKFold 5x5,25,0.8323143556587783,0.02308937194510418,0.8022272474860053,0.02789520562682352,0.8614681810660307,0.036113852172773464,0.6725745950554135,0.05611842621366363,0.7538420112587428,0.03978124508916835,0.7808988764044944,0.8715083798882681,0.0
Family groups,5,0.8204318624066286,0.02860852389908322,0.7909601351509891,0.028629981284530325,0.8371206092499893,0.05737087047272692,0.6639386189258312,0.03840941609804841,0.7397244325346785,0.039258390759285326,0.7752808988764045,0.8539325842696629,0.0
Ticket groups,5,0.8282256425751306,0.025049490141295584,0.7954854571193528,0.030920040960510403,0.8651765520146851,0.032133620698540095,0.654774083546462,0.05910538869610736,0.7440046884842764,0.043574737598076445,0.8089887640449438,0.8770949720670391,0.0
