feature_set,feature_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,family_group_accuracy,ticket_group_accuracy,notes,delta_from_prior
raw,7,0.8244592304312346,0.025234913725958756,0.7752808988764045,0.8764044943820225,0.8092272926997677,0.8080634813906157,Deterministic row features only.,0.0
basic,18,0.8255778042809616,0.022412608377996582,0.7808988764044944,0.8770949720670391,0.8193333751804657,0.8125389612761532,Deterministic row features only.,0.0011185738497270226
ticket_cabin,22,0.8280384156675664,0.02409945661495631,0.7752808988764045,0.8764044943820225,0.8260812252840374,0.8204293799496203,Deterministic row features only.,0.002460611386604805
group_counts,28,0.8278212290502793,0.02213741532549181,0.7865168539325843,0.8707865168539326,0.8002761910740066,0.7946306228094533,Inductive counts fitted on fold training rows.,-0.00021718661728709066
